gene	fpkm
APBA3	3.441701248
MKS1	2.27453899
ABHD5	4.534466307
AKAP8L	5.396834224
MBTD1	3.936873462
UTP18	4.047302806
RNF216	4.74827337
TTC19	3.449784529
PTBP1	6.517478853
LARS2	2.480174628
PIK3C2A	3.69099808
PLAUR	6.188096243
ANLN	1.030159483
WIZ	3.002207437
RABGAP1	4.717292567
QPCTL	1.647185548
PPP5C	3.958239493
CEP68	2.931499636
MAP4K3	3.43460421
ZBTB32	1.584832652
TYROBP	8.666852437
TMEM159	2.596064493
BRCA1	2.368653823
ERCC1	4.571203519
CD22	4.550192684
MBTPS2	2.116457917
PRICKLE3	2.058953704
LTF	2.148234545
EXTL3	3.705347621
ELOVL5	5.851264314
ALOX5	6.782749278
KDM5D	5.578186988
CALCOCO1	5.536230117
UBR7	2.828820436
MAP4K5	4.049700461
EHD3	2.908322961
PSMC4	4.3761306
MAN2B2	3.752791401
SLC25A39	4.069006082
MVP	6.826561198
NUB1	5.296897858
PGM3	2.590573278
RWDD2A	0.775541122
CLK1	7.353235061
POLR3B	1.793338252
ANGEL1	2.907042551
RNF14	3.455705971
DNASE1L1	3.860088774
DDX11	2.904861702
HEBP1	4.133481328
MAMLD1	0.623963288
CD6	5.177957645
TACC3	5.052394156
UFL1	3.639938286
POLA2	2.56146545
ZC3H3	3.387489378
CAPN1	6.032464558
ACPP	4.767178058
MDH1	5.152086046
SLC30A9	3.833284803
MTMR11	4.588480788
COX15	3.916610398
CCDC88C	6.66011002
YAF2	4.353478563
ZMYND11	4.22056213
WAS	6.421317568
BID	5.183149026
MATR3	7.372664853
XYLT2	2.632931237
RGPD5	1.02519893
NUDCD3	4.44429601
CHDH	0.272060227
GLT8D1	3.56152166
ATP2C1	4.655237324
SRCIN1	0.186837739
SLC38A5	2.565514316
RALBP1	4.165944088
RUFY3	4.81387865
SLC11A1	8.039023211
WWTR1	0.290858445
AGPS	3.682517117
CXorf56	3.05709497
TTC27	3.009175157
ZNF582	0.929350928
PHLDB1	0.545682766
MARCO	3.714223534
PRDM11	1.556292068
CD74	10.22432733
HGF	3.933865302
ZRANB1	3.369566987
NCDN	2.841985192
GPR124	1.399728919
ZFP64	2.174428791
MNAT1	3.634221512
SAMD4A	1.892616399
RUNX3	5.294925796
MRE11A	4.107595815
PLEKHB1	2.479879835
SERPINB1	7.294409383
SLC7A9	0.224219365
SPAST	3.437554013
OSBPL5	4.998425702
AQR	4.768528413
CPS1	0.988354579
FHL1	3.623152827
RTFDC1	5.371645979
NLRP2	1.192320435
SLC45A4	3.497893341
RNF10	6.890264277
ZNF839	2.778969681
ZDHHC6	4.661635602
GRAMD1B	1.882431765
RNH1	5.718482188
NDUFS1	4.473072529
RB1CC1	5.135715442
ERP44	4.048968509
ALAS1	3.549373456
BIRC3	5.141314251
AKAP11	3.825917885
GLRX2	2.895886174
SNAPC1	1.072140109
DERA	4.115632576
STRAP	5.30500743
ABCC2	0.696356222
DEF6	5.545227068
PLEKHO1	6.357054013
GCLM	3.482964417
UBR2	4.822623089
EHD2	0.278424925
CCDC28A	3.394896853
RRAGD	2.966818038
HSF2	2.808903957
PHF20	5.151582847
HSD17B6	0.302853619
NR1H3	1.767514971
TYMP	7.407752123
NCAPH2	3.629076798
TOMM34	1.763951156
SEC63	4.988384757
KPNA6	4.107277764
VIM	9.786096428
RTEL1-TNFRSF6B	1.506683178
FAS	4.428886064
RNASET2	6.960303186
CD44	9.373441588
KCNG1	0.347545474
AGPAT4	4.100212379
SLAMF7	4.461299355
BTN3A1	5.830229967
MIPEP	2.521897506
PRKCH	6.746783017
IFNGR1	6.803033252
B4GALT7	3.019540025
SH2D2A	3.937833997
VRK2	3.622180704
TNFRSF1B	7.171417018
VEZT	4.241855434
POU2F2	5.605639521
BRD9	4.228557058
SNX1	5.8023199
TBPL1	4.114983287
ARNTL2	1.027599958
BCLAF1	7.350559126
SLC39A9	3.95287401
ANK1	1.473298572
TFB1M	3.405562209
RABEP1	4.664323543
HMGB3	2.565182829
NUP160	4.318172203
BAK1	3.111877646
IKZF2	3.719676304
GRN	7.648436681
FAM13B	5.003332381
