date	pm25
2019-4-15	10.4
2019-4-16	10.4
2019-4-17	10.4
2019-4-18	10.4
2019-4-19	10.4
2019-4-20	10.4
2019-4-21	15.6
2019-4-22	10.4
2019-4-23	10.4
2019-4-24	10.4
2019-4-25	10.4
2019-4-26	10.4
2019-4-27	10.4
2019-4-28	10.4
2019-4-29	10.4
2019-4-30	10.4
2019-5-1	10.4
2019-5-2	10.4
2019-5-3	10.4
2019-5-4	10.4
2019-5-5	10.4
2019-5-6	10.4
2019-5-7	10.4
2019-5-8	10.4
2019-5-9	10.4
2019-5-10	10.4
2019-5-11	10.4
2019-5-12	10.4
2019-5-13	10.4
2019-5-14	10.4
2019-5-15	10.4
2019-5-16	10.4
2019-5-17	10.4
2019-5-18	10.4
2019-5-19	10.4
2019-5-20	10.4
2019-5-21	10.4
2019-5-22	10.4
2019-5-23	10.4
2019-5-24	10.4
2019-5-25	10.4
2019-5-26	10.4
2019-5-27	10.4
2019-5-28	10.4
2019-5-29	10.4
2019-5-30	10.4
2019-5-31	10.4
2019-6-1	10.4
2019-6-2	10.4
2019-6-3	10.4
2019-6-4	10.4
2019-6-5	10.4
2019-6-6	10.4
2019-6-7	10.4
2019-6-8	10.4
2019-6-9	10.4
2019-6-10	10.4
2019-6-11	10.4
2019-6-12	10.4
2019-6-13	10.4
2019-6-14	10.4
2019-6-15	10.4
2019-6-16	10.4
2019-6-17	10.4
2019-6-18	10.4
2019-6-19	10.4
2019-6-20	10.4
2019-6-21	10.4
2019-6-22	10.4
2019-6-23	10.4
2019-6-24	10.4
2019-6-25	10.4
2019-6-26	10.4
2019-6-27	10.4
2019-6-28	10.4
2019-6-29	10.4
2019-6-30	10.4
2019-7-1	10.4
2019-7-2	10.4
2019-7-3	10.4
2019-7-4	10.4
2019-7-5	10.4
2019-7-6	10.4
2019-7-7	10.4
2019-7-8	10.4
2019-7-9	10.4
2019-7-10	10.4
2019-7-11	10.4
2019-7-12	10.4
2019-7-13	10.4
2019-7-14	10.4
2019-7-15	10.4
2019-7-16	10.4
2019-7-17	10.4
2019-7-18	10.4
2019-7-19	10.4
2019-7-20	10.4
2019-7-21	10.4
2019-7-22	10.4
2019-7-23	10.4
2019-7-24	10.4
2019-7-25	10.4
2019-7-26	10.4
2019-7-27	10.4
2019-7-28	10.4
2019-7-29	10.4
2019-7-30	10.4
2019-7-31	10.4
2019-8-1	10.4
2019-8-2	10.4
2019-8-3	10.4
2019-8-4	10.4
2019-8-5	10.4
2019-8-6	10.4
2019-8-7	10.4
2019-8-8	10.4
2019-8-9	10.4
2019-8-10	10.4
2019-8-11	10.4
2019-8-12	10.4
2019-8-13	10.4
2019-8-14	10.4
2019-8-15	10.4
2019-8-16	10.4
2019-8-17	10.4
2019-8-18	10.4
2019-8-19	10.4
2019-8-20	10.4
2019-8-21	10.4
2019-8-22	10.4
2019-8-23	10.4
2019-8-24	10.4
2019-8-25	10.4
2019-8-26	10.4
2019-8-27	10.4
2019-8-28	10.4
2019-8-29	10.4
2019-8-30	10.4
2019-8-31	10.4
2019-9-1	10.4
2019-9-2	10.4
2019-9-3	10.4
2019-9-4	10.4
2019-9-5	10.4
2019-9-6	10.4
2019-9-7	10.4
2019-9-8	10.4
2019-9-9	10.4
2019-9-10	10.4
2019-9-11	10.4
2019-9-12	10.4
2019-9-13	10.4
2019-9-14	10.4
2019-9-15	10.4
2019-9-16	10.4
2019-9-17	10.4
2019-9-18	10.4
2019-9-19	10.4
2019-9-20	10.4
2019-9-21	10.4
2019-9-22	10.4
2019-9-23	10.4
2019-9-24	10.4
2019-9-25	10.4
2019-9-26	10.4
2019-9-27	10.4
2019-9-28	10.4
2019-9-29	10.4
2019-9-30	10.4
2019-10-1	10.4
2019-10-2	10.4
2019-10-3	10.4
2019-10-4	10.4
2019-10-5	10.4
2019-10-6	10.4
2019-10-7	10.4
2019-10-8	10.4
2019-10-9	10.4
2019-10-10	10.4
2019-10-11	10.4
2019-10-12	10.4
2019-10-13	10.4
2019-10-14	10.4
2019-10-15	10.4
2019-10-16	10.4
2019-10-17	10.4
2019-10-18	10.4
2019-10-19	10.4
2019-10-20	10.4
2019-10-21	10.4
2019-10-22	10.4
2019-10-23	10.4
2019-10-24	10.4
2019-10-25	10.4
2019-10-26	10.4
2019-10-27	10.4
2019-10-28	10.4
2019-10-29	10.4
2019-10-30	10.4
2019-10-31	10.4
2019-11-1	10.4
2019-11-2	10.4
2019-11-3	10.4
2019-11-4	10.4
2019-11-5	10.4
2019-11-6	10.4
2019-11-7	10.4
2019-11-8	10.4
2019-11-9	10.4
2019-11-10	10.4
2019-11-11	10.4
2019-11-12	10.4
2019-11-13	10.4
2019-11-14	10.4
2019-11-15	10.4
2019-11-16	10.4
2019-11-17	10.4
2019-11-18	10.4
2019-11-19	10.4
2019-11-20	10.4
2019-11-21	10.4
2019-11-22	10.4
2019-11-23	10.4
2019-11-24	10.4
2019-11-25	10.4
2019-11-26	10.4
2019-11-27	10.4
2019-11-28	10.4
2019-11-29	10.4
2019-11-30	10.4
2019-12-1	10.4
2019-12-2	10.4
2019-12-3	10.4
2019-12-4	10.4
2019-12-5	10.4
2019-12-6	10.4
2019-12-7	10.4
2019-12-8	10.4
2019-12-9	10.4
2019-12-10	10.4
2019-12-11	10.4
2019-12-12	10.4
2019-12-13	10.4
2019-12-14	10.4
2019-12-15	10.4
2019-12-16	10.4
2019-12-17	10.4
2019-12-18	10.4
2019-12-19	10.4
2019-12-20	10.4
2019-12-21	10.4
2019-12-22	10.4
2019-12-23	10.4
2019-12-24	10.4
2019-12-25	10.4
2019-12-26	10.4
2019-12-27	10.4
2019-12-28	10.4
2019-12-29	10.4
2019-12-30	10.4
2019-12-31	10.4
2020-1-1	5.2
2020-1-2	10.4
2020-1-3	10.4
2020-1-4	10.4
2020-1-5	10.4
2020-1-6	113.568
2020-1-7	113.568
2020-1-8	113.568
2020-1-9	113.568
2020-1-10	113.568
2020-1-11	113.568
2020-1-12	113.568
2020-1-13	113.568
2020-1-14	113.568
2020-1-15	10.4
2020-1-16	15.6
2020-1-17	10.4
2020-1-18	10.4
2020-1-19	20.8
2020-1-20	10.4
2020-1-21	10.4
2020-1-22	10.4
2020-1-23	10.4
2020-1-24	26
2020-1-25	10.4
2020-1-26	10.4
2020-1-27	10.4
2020-1-28	31.2
2020-1-29	10.4
2020-1-30	10.4
2020-1-31	10.4
2020-2-1	10.4
2020-2-2	10.4
2020-2-3	10.4
2020-2-4	10.4
2020-2-5	10.4
2020-2-6	36.4
2020-2-7	10.4
2020-2-8	10.4
2020-2-9	10.4
2020-2-10	10.4
2020-2-11	10.4
2020-2-12	36.4
2020-2-13	10.4
2020-2-14	10.4
2020-2-15	10.4
2020-2-16	10.4
2020-2-17	10.4
2020-2-18	10.4
2020-2-19	10.4
2020-2-20	10.4
2020-2-21	10.4
2020-2-22	10.4
2020-2-23	10.4
2020-2-24	10.4
2020-2-25	10.4
2020-2-26	10.4
2020-2-27	36.4
2020-2-28	10.4
2020-3-1	10.4
2020-3-2	10.4
2020-3-3	41.6
2020-3-4	10.4
2020-3-5	10.4
2020-3-6	10.4
2020-3-7	10.4
2020-3-8	10.4
2020-3-9	10.4
2020-3-10	10.4
2020-3-11	10.4
2020-3-12	10.4
2020-3-13	10.4
2020-3-14	41.6
2020-3-15	10.4
2020-3-16	10.4
2020-3-17	10.4
2020-3-18	10.4
2020-3-19	20.8
2020-3-20	10.4
2020-3-21	10.4
2020-3-22	10.4
2020-3-23	10.4
2020-3-24	10.4
2020-3-25	10.4
2020-3-26	10.4
2020-3-27	10.4
2020-3-28	10.4
2020-3-29	10.4
2020-3-30	10.4
2020-3-31	10.4
2020-4-1	10.4
2020-4-2	10.4
2020-4-3	10.4
2020-4-4	10.4
2020-4-5	10.4
2020-4-6	10.4
2020-4-7	10.4
2020-4-8	15.6
2020-4-9	10.4
2020-4-10	10.4
2020-4-11	10.4
2020-4-12	10.4
2020-4-13	10.4
2020-4-14	10.4
2020-4-15	10.4
2020-4-16	10.4
2020-4-17	10.4
2020-4-18	10.4
2020-4-19	10.4
2020-4-20	10.4
2020-4-21	15.6
2020-4-22	10.4
2020-4-23	10.4
2020-4-24	10.4
2020-4-25	10.4
2020-4-26	10.4
2020-4-27	10.4
2020-4-28	10.4
2020-4-29	10.4
2020-4-30	10.4
2020-5-1	10.4
2020-5-2	10.4
2020-5-3	10.4
2020-5-4	10.4
2020-5-5	10.4
2020-5-6	10.4
2020-5-7	10.4
2020-5-8	10.4
2020-5-9	10.4
2020-5-10	10.4
2020-5-11	10.4
2020-5-12	10.4
2020-5-13	10.4
2020-5-14	10.4
2020-5-15	10.4
2020-5-16	10.4
2020-5-17	10.4
2020-5-18	10.4
2020-5-19	10.4
2020-5-20	10.4
2020-5-21	10.4
2020-5-22	10.4
2020-5-23	10.4
2020-5-24	10.4
2020-5-25	10.4
2020-5-26	10.4
2020-5-27	10.4
2020-5-28	10.4
2020-5-29	10.4
2020-5-30	10.4
2020-5-31	10.4
2020-6-1	10.4
2020-6-2	10.4
2020-6-3	10.4
2020-6-4	10.4
2020-6-5	10.4
2020-6-6	10.4
2020-6-7	10.4
2020-6-8	10.4
2020-6-9	10.4
2020-6-10	10.4
2020-6-11	10.4
2020-6-12	10.4
2020-6-13	10.4
2020-6-14	10.4
2020-6-15	10.4
2020-6-16	10.4
2020-6-17	10.4
2020-6-18	10.4
2020-6-19	10.4
2020-6-20	10.4
2020-6-21	10.4
2020-6-22	10.4
2020-6-23	10.4
2020-6-24	10.4
2020-6-25	10.4
2020-6-26	10.4
2020-6-27	10.4
2020-6-28	10.4
2020-6-29	10.4
2020-6-30	10.4
2020-7-1	10.4
2020-7-2	10.4
2020-7-3	10.4
2020-7-4	10.4
2020-7-5	10.4
2020-7-6	10.4
2020-7-7	10.4
2020-7-8	10.4
2020-7-9	10.4
2020-7-10	10.4
2020-7-11	10.4
2020-7-12	10.4
2020-7-13	10.4
2020-7-14	10.4
2020-7-15	10.4
2020-7-16	10.4
2020-7-17	10.4
2020-7-18	10.4
2020-7-19	10.4
2020-7-20	10.4
2020-7-21	10.4
2020-7-22	10.4
2020-7-23	10.4
2020-7-24	10.4
2020-7-25	10.4
2020-7-26	10.4
2020-7-27	10.4
2020-7-28	10.4
2020-7-29	10.4
2020-7-30	10.4
2020-7-31	10.4
2020-8-1	10.4
2020-8-2	10.4
2020-8-3	10.4
2020-8-4	10.4
2020-8-5	10.4
2020-8-6	10.4
2020-8-7	10.4
2020-8-8	10.4
2020-8-9	10.4
2020-8-10	10.4
2020-8-11	10.4
2020-8-12	10.4
2020-8-13	10.4
2020-8-14	10.4
2020-8-15	10.4
2020-8-16	10.4
2020-8-17	10.4
2020-8-18	10.4
2020-8-19	10.4
2020-8-20	10.4
2020-8-21	10.4
2020-8-22	10.4
2020-8-23	10.4
2020-8-24	10.4
2020-8-25	10.4
2020-8-26	10.4
2020-8-27	10.4
2020-8-28	10.4
2020-8-29	10.4
2020-8-30	10.4
2020-8-31	10.4
2020-9-1	10.4
2020-9-2	10.4
2020-9-3	10.4
2020-9-4	10.4
2020-9-5	10.4
2020-9-6	10.4
2020-9-7	10.4
2020-9-8	10.4
2020-9-9	10.4
2020-9-10	10.4
2020-9-11	10.4
2020-9-12	10.4
2020-9-13	10.4
2020-9-14	10.4
2020-9-15	10.4
2020-9-16	10.4
2020-9-17	10.4
2020-9-18	10.4
2020-9-19	10.4
2020-9-20	10.4
2020-9-21	10.4
2020-9-22	10.4
2020-9-23	10.4
2020-9-24	10.4
2020-9-25	10.4
2020-9-26	10.4
2020-9-27	10.4
2020-9-28	10.4
2020-9-29	10.4
2020-9-30	10.4
2020-10-1	10.4
2020-10-2	10.4
2020-10-3	10.4
2020-10-4	10.4
2020-10-5	10.4
2020-10-6	10.4
2020-10-7	10.4
2020-10-8	10.4
2020-10-9	10.4
2020-10-10	10.4
2020-10-11	10.4
2020-10-12	10.4
2020-10-13	10.4
2020-10-14	10.4
2020-10-15	10.4
2020-10-16	10.4
2020-10-17	10.4
2020-10-18	10.4
2020-10-19	10.4
2020-10-20	10.4
2020-10-21	10.4
2020-10-22	10.4
2020-10-23	10.4
2020-10-24	10.4
2020-10-25	10.4
2020-10-26	10.4
2020-10-27	10.4
2020-10-28	10.4
2020-10-29	10.4
2020-10-30	10.4
2020-10-31	10.4
2020-11-1	10.4
2020-11-2	10.4
2020-11-3	10.4
2020-11-4	10.4
2020-11-5	10.4
2020-11-6	10.4
2020-11-7	10.4
2020-11-8	10.4
2020-11-9	10.4
2020-11-10	10.4
2020-11-11	10.4
2020-11-12	10.4
2020-11-13	10.4
2020-11-14	10.4
2020-11-15	10.4
2020-11-16	10.4
2020-11-17	10.4
2020-11-18	10.4
2020-11-19	10.4
2020-11-20	10.4
2020-11-21	10.4
2020-11-22	10.4
2020-11-23	10.4
2020-11-24	10.4
2020-11-25	10.4
2020-11-26	10.4
2020-11-27	10.4
2020-11-28	10.4
2020-11-29	10.4
2020-11-30	10.4
2020-12-1	10.4
2020-12-2	10.4
2020-12-3	10.4
2020-12-4	10.4
2020-12-5	10.4
2020-12-6	10.4
2020-12-7	10.4
2020-12-8	10.4
2020-12-9	10.4
2020-12-10	10.4
2020-12-11	0
2020-12-12	0
2020-12-13	0
2020-12-14	0
2020-12-15	0
2020-12-16	0
2020-12-17	0
2020-12-18	0
2020-12-19	0
2020-12-20	0
2020-12-21	0
2020-12-22	0
2020-12-23	0
2020-12-24	0
2020-12-25	0
2020-12-26	0
2020-12-27	0
2020-12-28	0
2020-12-29	0
2020-12-30	0
2020-12-31	0
