group	A	A	B	B	C	C	D	D
gene33	12.20309407	11.62152994	11.48421871	13.47546746	12.38802536	10.57471651	11.67754348	13.56554244
gene34	12.55447374	11.90554872	12.14119391	11.54350555	12.49258678	12.33589275	12.62022212	12.61313103
gene35	11.73000303	11.05466536	12.30796067	11.96664243	12.5216446	12.14960106	12.52627181	12.01582968
gene36	12.86479359	11.8207095	12.18342758	11.23307437	12.43787169	12.09304446	12.34369929	12.20533508
gene37	11.91096121	11.08735676	12.43069821	13.69944232	11.49116665	12.42886785	11.49807631	10.58840545
gene38	9.842133451	10.11957665	12.15854973	12.72754825	11.35745853	12.60696034	12.21932888	13.11167854
gene39	12.06646596	11.65239686	12.79210497	9.844001112	10.29849795	10.52106055	0	0
gene40	11.62964349	12.53347331	11.92939157	12.18069552	12.73075669	12.06390735	12.06043925	12.19177791
gene41	12.07417492	11.28176779	12.10368122	10.96361139	12.38451666	12.20365083	12.18923464	11.49807132
gene42	10.25787102	10.90129684	11.10067548	11.22852411	11.38495099	11.77179069	11.72439874	12.79348139
gene43	11.44588393	11.0558247	10.90416042	11.60018704	11.17920623	11.26021389	11.52354725	11.31254833
gene44	11.298011	11.08114386	11.25241708	12.01339247	11.59393262	11.41911221	10.9806323	11.28658664
gene45	10.28785087	10.57769317	12.62054517	11.06270053	12.39721737	11.36390477	10.9858206	11.38697796
gene46	10.66436728	11.06995318	10.25331568	10.79988869	10.29141247	11.0430478	11.06351642	11.17432652
gene47	9.542693347	10.42029712	9.470508395	10.23529625	9.72790174	10.27085594	12.19953739	9.842727469
gene48	11.56047136	11.2533275	10.21386973	12.05028742	10.6165029	11.04302728	11.20159098	10.68831151
gene49	8.58140021	9.099000575	9.108359792	11.02991525	9.686589817	10.46375935	8.139106197	9.026531742
gene50	11.97680754	12.01224391	11.01484344	10.74442182	10.41097067	11.09520579	10.84271176	11.52050574
gene51	11.41428884	10.45461803	10.54434628	12.12655929	11.01186319	10.05873589	10.86638257	9.366289425
gene52	0	0	12.626665	11.55001082	8.553153116	12.44620453	6.613891103	5.240230361
gene53	10.46683101	9.895632838	9.815594641	11.21536312	10.66131494	10.03901498	10.83188516	10.72604782
gene54	7.393536329	0	9.642169054	6.911583735	9.150191543	0	7.952741247	10.14223472
gene55	6.718019065	7.583082768	10.56332023	9.751577532	10.12662705	8.663234306	10.06307145	9.317579939
gene56	0	0	0	0	0	10.07919141	9.799726829	0
gene57	12.21886591	10.87223623	9.696411199	10.83796689	10.2584247	9.717541057	9.537463036	10.05440082
gene58	9.924263225	9.356108588	9.248980676	9.073900547	9.904601508	9.854072033	10.10828922	9.614385937
gene59	7.230817842	9.388622229	10.10142422	11.18633713	8.868146567	9.752397373	9.356520197	9.297347345
gene60	7.674001544	0	0.014919548	12.08678974	2.707219964	0	11.73850187	0
gene61	8.991297913	10.41754665	7.586021591	10.46327914	9.343561056	8.088565657	0	8.061835589
gene62	11.41286619	11.55515469	7.93593114	8.876016521	8.683913965	9.056729828	0	0
gene63	9.874071502	9.743723645	9.91204053	9.691071733	9.5298834	9.575730207	9.671098726	9.919535245
gene64	0.020644286	0.151683501	0.061744683	10.56367296	13.79656693	2.199819944	8.555382883	0.221644499
gene65	9.551362204	9.461696347	8.949456143	10.10796243	9.032789619	9.567762182	9.625157226	9.248826545
gene66	9.114213439	9.811687765	9.555127843	8.803181822	9.846474511	9.865980657	9.462445014	10.45842712
gene67	9.034166183	10.88874325	7.877768785	9.866325381	8.396138077	9.699575923	10.85765449	9.338901253
gene68	9.302209364	8.828936173	9.241458871	9.101581797	9.989621566	10.10055722	10.29918512	10.20490121
gene69	8.623658394	8.814511972	9.727578454	9.28738918	9.61484785	9.666051757	10.01555444	9.430082422
gene70	10.53719898	10.00713943	9.906226202	9.182766774	8.800676685	9.014126506	0	0
gene71	9.971385481	9.719944913	8.811512775	9.220982851	9.143931614	9.381938719	8.805805125	9.239183202
gene72	7.488924661	9.245131958	7.850936907	10.14097033	9.289795281	8.274941842	7.635877706	7.537684337
gene73	0	0	9.008781549	8.677014857	7.691527186	8.171161783	7.504930189	10.91549849
gene74	0	0	9.320692258	7.49255023	8.15273102	7.466219245	0	0
gene75	0	0	0	10.18090371	10.04615543	0	0	0
gene76	8.055618664	9.793424485	8.004821581	0	0	9.124333305	0	9.520479217
gene77	9.502111768	0	8.353190944	5.882217514	0	9.661421833	0	0
gene78	7.376637678	9.260893666	8.891312852	8.385655362	9.032365372	9.272023189	8.885699423	9.872641025
gene79	9.364408281	9.31553906	9.561541898	9.628981325	9.787625091	8.476952722	10.11916161	8.831389591
gene80	8.249464304	8.519152653	8.628044483	9.958238043	8.734052469	8.487651145	8.465831657	8.70043625
gene81	7.06446255	6.617100087	7.942274036	9.423212577	8.415640375	8.211781244	8.271416338	8.551815907
gene82	0	0	0	7.421198048	0	8.92322942	0	8.313019052
gene83	7.903701121	7.786498349	8.061959762	8.784942326	8.438380189	8.579285763	8.302488135	9.210225683
gene84	8.732086001	8.481771183	8.374596126	8.852104987	9.035461707	7.798880007	8.672305112	8.340290759
gene85	8.177598929	7.991657889	8.374787372	8.513621018	8.518106264	8.759219097	8.979156496	8.645251322
gene86	0.000142065	0.000835984	0.003608943	12.69781682	0.020836412	0.004414494	0.033904178	0.005455265
gene87	7.456239406	0	8.389407632	0	7.228241497	8.526949094	0	10.2097945
gene88	0	0	9.238789248	8.684383956	11.06991962	8.663590124	0	0
gene89	8.471528906	8.812196563	8.061014694	7.653181861	7.85247333	8.176158186	8.149040839	7.76272087
gene90	0	0	9.547391988	9.313896569	0	0	0	10.01329475
gene91	0	0	7.327444859	5.923517653	0	9.045729633	0	0
gene92	8.340744731	7.19266762	7.882698066	8.079740766	8.571430323	7.975996958	8.219071692	7.927570578
gene93	8.389239828	7.81961071	7.327444859	5.923517653	0	0	7.952741247	8.822220272
gene94	8.467968216	0.07442364	0.126138045	9.502517579	9.102721111	9.007941105	7.566107329	7.174066799
gene95	0	0	0	0	0	8.462134139	0	9.406119951
gene96	6.266383654	6.082721747	1.422060728	4.951149474	3.563743877	4.51737019	4.908183633	4.643036506
gene97	2.95200361	8.94494627	2.714322459	6.170916513	7.701756963	6.999988729	8.724220509	8.11287212
gene98	6.188646206	8.269033146	8.685666885	6.054457803	9.337762374	7.703993523	7.888274449	7.844994431
gene99	0	0	0	0	0	0	0	0
gene100	0	0	9.64658031	8.052182194	6.454657918	0	0	7.376516134
gene101	7.560592687	7.715234455	8.037118612	7.012937345	7.616710564	7.968321196	7.7210103	8.06704708
gene102	0	9.132579413	8.985870392	2.0396929	2.771236959	0.674900805	0	8.154853543
gene103	10.67690911	0	0	0.001153934	11.19499687	0	0	0
gene104	0	2.943836956	0	7.581765495	6.87296416	5.016830569	5.60730072	5.443507198
gene105	6.743918832	5.464665	6.247568693	9.14908658	6.381726359	6.255585706	7.111052185	6.231614808
gene106	0	0	0	9.548683218	0	0	0	0
gene107	9.140788879	7.946619753	7.031825241	6.974494897	7.285060001	6.997540815	6.966072795	7.197088885
gene108	0	0	0	0	0	0	0	9.528143463
gene109	7.119833399	7.448587144	7.217114365	6.404741368	7.164494669	7.212647152	6.968885629	7.744201469
gene110	3.999900811	3.91756542	6.953800678	6.989059512	5.706248727	6.866252733	5.090421573	4.429723074
gene111	4.341352473	5.557180304	6.417363097	4.242747302	7.202750733	5.242324305	5.494069937	6.676140445
gene112	6.317508489	6.763145958	8.366719993	7.023377346	8.370055272	5.621295854	7.239493515	5.474273788
gene113	7.080167302	7.459234874	6.362098121	6.765494966	6.496129952	6.301219976	6.975767736	5.994552572
gene114	6.825289552	7.286603964	7.360557419	6.688376212	6.378541101	7.108137595	7.018678679	7.128283089
gene115	5.325192104	6.588777588	7.281661162	6.762308947	6.276911623	6.789768369	7.053697855	6.671618905
gene116	5.693453503	4.151858817	5.275081565	8.784729714	5.771605673	5.728081048	6.380966623	2.925479195
gene117	6.922233535	7.706585806	7.247139511	7.308794067	7.755381674	6.270648539	7.070732786	5.4731927
gene118	6.644206722	6.749306315	0	4.996994262	4.999066455	7.78055289	6.83206719	5.876902432
gene119	7.006432681	6.415016648	7.42302344	6.464692769	6.442182149	6.351580629	6.292014193	6.971589536
gene120	6.606637654	6.114450319	0	4.826619667	2.695167589	4.300943704	4.222650022	4.520371958
gene121	4.678286039	5.082340678	7.042545849	5.940542648	7.12144027	7.367685572	7.22751968	7.192026446
gene122	7.49615872	8.64655511	7.015604611	7.573768354	7.920519597	5.858595253	6.426747809	6.009866678
gene123	4.877017812	4.270013068	6.426922205	7.507691587	6.5004595	6.175203212	5.922854335	6.367776417
gene124	6.492953933	7.038688579	5.929445429	6.438329451	6.549076139	7.137759661	6.736347808	6.308127844
gene125	5.836949155	5.510604365	5.750073166	6.828948863	6.429038436	5.575781251	5.898000303	5.429465327
gene126	7.068402107	6.825861932	5.982943393	6.943663512	6.265307489	6.705272965	6.735102413	6.489090096
gene127	6.048526108	5.730854578	6.389472166	5.576909062	6.345165702	6.064024876	5.96106531	6.907695876
gene128	3.580278168	4.650345244	6.304660706	6.347965006	7.252239656	6.022760617	7.09824268	6.929826497
gene129	6.478311767	6.971635516	6.818134761	6.099215239	7.218907069	7.148181658	6.468381299	6.477641713
gene130	4.510746765	6.323789773	6.521570604	7.041374417	6.480234419	6.216363675	5.936185627	6.904255272
gene131	5.482861187	7.345671361	6.766449401	6.613001153	6.435485251	5.918760695	6.078626912	6.744080345
gene132	6.906421644	6.263246662	6.337957228	5.995762629	5.773975233	6.849048488	6.041593449	6.131149069
gene133	0	0	0	0	7.15779155	0	0	0
gene134	0	0	0	0	0	0	0	8.313019052
gene135	0	7.192342137	0	6.433341738	0	7.02798338	0	0
gene136	5.261993336	4.955986933	5.272840634	5.959290259	5.920236125	5.467478392	5.430676675	5.909588316
gene137	4.686971077	6.616753196	6.585401254	6.192413157	6.635455491	5.475840413	6.013859728	6.813293799
gene138	6.420233106	6.597046917	6.912003094	6.081512199	6.274093896	6.604258174	6.708918333	6.121191581
gene139	7.912805526	6.603555136	5.451685886	7.285929261	5.844717061	5.963358519	6.185963647	4.867777881
gene140	4.376443203	4.557679659	6.467502846	4.67128771	6.31740176	6.602596435	6.389701026	6.540768147
gene141	5.024807233	6.215963924	6.36502583	6.300023025	6.921626748	5.238763935	5.923196731	4.419444507
gene142	0	0	0	0	0	0	0	0
gene143	4.496743549	4.646974809	5.936854621	5.770741848	5.955468579	6.334950779	6.046229109	6.177377677
gene144	6.856126687	0	6.277726303	0	0	8.345405247	0	7.181520029
gene145	0	0	7.327444859	0	0	0	7.952741247	0
gene146	5.234083565	5.934724069	6.275364696	6.661350569	6.541361505	5.983700493	5.834402785	6.126159294
gene147	3.062883279	5.441566475	7.529001	4.850764425	7.169434001	6.577608587	7.28622506	6.534811773
gene148	0	0	7.001768471	5.581559139	0	0	0	0
gene149	5.674223347	5.731126206	5.155769468	6.986456445	6.1893047	5.153416242	5.82289327	4.836646251
gene150	0	0	0	0	0	0	0	0
gene151	5.478389434	5.714597218	5.122950134	6.813511863	5.889984528	5.130811464	6.089351959	4.673833404
gene152	5.731601432	5.712604034	5.709265819	5.491346461	5.085050676	5.646099279	4.690327693	5.289812338
gene153	6.553617007	5.984138153	5.693634704	6.127356764	5.771642645	5.882410732	5.893782046	5.739645614
gene154	3.863512317	1.805857865	3.818421123	1.283263967	1.884613549	2.256455164	3.531344028	2.644756151
gene155	0.205979231	0.038056985	0.148597057	8.196602127	0.044559189	0.147604977	0.4288724	0.184657346
gene156	6.990864122	6.054865838	2.45E-05	5.383099443	2.066846945	1.543842287	0.002671042	0
gene157	3.395574235	4.140255134	4.048349546	5.83385402	4.882735966	4.226416046	4.910147408	3.7822408
gene158	6.11205578	5.833552995	5.347144747	5.391788338	5.409957719	5.551414502	4.831466866	6.372445464
gene159	2.563682873	5.150750561	4.636804402	5.787920838	4.18015582	6.459590634	6.335472537	5.703114546
gene160	5.966118951	5.424075566	6.441133188	4.869841802	6.080956062	5.900236472	5.767832211	6.302339159
gene161	4.979805862	7.707945755	5.274802105	6.164478579	6.344464582	6.43539357	5.974182822	0.005561115
gene162	5.767914291	5.756518962	5.921045897	5.637178393	5.26646424	5.742504814	5.745094777	5.71910128
gene163	5.556254663	4.411805852	6.083862222	6.659653457	5.343599695	5.705784424	5.708203793	6.16127098
gene164	4.770305776	5.146268269	5.073040419	5.526366212	5.69176864	5.502384708	5.251154779	5.45252625
gene165	5.194886839	5.39765581	5.949562946	4.767469418	4.99213394	5.496948024	4.660215579	5.957770693
gene166	0	0	0	0	0	0	0	0
gene167	5.593536039	4.743369549	3.902623532	5.090413104	5.117154762	4.075789316	6.220062908	5.198718084
gene168	4.679874148	4.427036222	5.825513443	4.698651889	4.269564332	5.508403297	5.510980902	6.029278391
gene169	0	0	0	0	0	0	0	0
gene170	6.121106603	5.167747294	6.24035822	0.041074868	4.879102884	5.316156606	5.001207751	5.830420133
gene171	9.087709457	5.1656708	0	4.132749561	0	0	6.171773272	0
gene172	0	0	0	6.358477144	0	0	0	0
gene173	4.606667262	5.705676618	0	2.465781222	3.149769877	5.186116221	4.23213116	3.721077309
gene174	6.49E-06	6.210667448	4.173127433	6.328012437	6.166241431	4.549435068	4.615227944	0.000234262
gene175	0	5.657900056	6.189106986	0	5.975980913	0	0	6.564085453
gene176	4.893197155	4.520855935	5.876364688	3.924346966	5.257783822	5.274351128	5.520472538	5.397118409
gene177	3.688672738	5.763419542	5.390959964	5.682733401	5.109573688	4.55520877	5.186571867	5.526237868
gene178	2.60E-10	6.655543603	3.063913603	7.379352372	6.321055	3.741402266	4.386183251	4.950407756
gene179	6.030298554	5.818050375	5.623869788	3.765333179	5.330705387	5.637410277	5.326569705	5.638247645
gene180	4.615263262	3.614756952	3.034018458	1.333040109	4.004213723	1.516292562	4.530645108	5.089845563
gene181	3.07599463	3.574016712	1.30E-06	2.021863447	2.632863786	2.541955857	2.198761295	3.441474184
gene182	0	0	7.327444859	0	0	0	0	0
gene183	4.792360838	6.025870416	5.267899048	5.312051578	5.299977251	5.851311795	5.50430894	5.13024312
gene184	2.62446825	2.670901504	3.135971487	7.645946582	2.952860967	2.755304221	3.70194821	4.401493945
gene185	4.672204678	4.665216517	4.746823317	3.424162929	5.26503926	5.525658612	3.900721928	4.980331543
gene186	4.142503297	4.649103815	5.581182501	4.358677571	5.228680185	4.828682351	5.16243967	4.712925879
gene187	0	0	0	0	0	7.466219245	0	7.825404046
gene188	0	0	0	0	0	0	0	0
gene189	0	4.094683675	0	4.409472404	4.123699301	4.676904879	0	5.655884154
gene190	4.892133552	5.867893994	5.382580799	5.288329029	5.337711092	5.104256974	4.990610024	5.393526032
gene191	5.206260309	5.515873267	5.42495567	4.784807566	5.222120602	5.049957428	5.043633225	5.020515536
gene192	0	0	0	0	0	0	0	0
gene193	4.900731587	4.45337271	5.565993132	4.409160086	5.403005204	5.084999672	5.342238268	5.340010293
gene194	4.867342995	5.426831656	5.523928856	5.059999812	4.812262035	4.594291756	4.99521314	5.375035955
gene195	0	0	0	0	0	0	0	0
gene196	0	0	0	0	0	0	7.653418353	0
gene197	0	0	0	0	0	0	0	0
gene198	5.216408301	5.214571692	4.623422095	4.746731969	4.26620185	5.54630183	4.610829965	4.986906919
gene199	4.646254839	5.073803099	5.212616027	4.651338766	4.997030404	5.232860265	4.991113639	5.839904176
gene200	1.728408166	0.00015495	4.634087888	5.189741552	2.457746616	6.200004028	2.874828435	3.982117427
gene201	0	0	0	0	0	0	0	0
gene202	5.23601802	5.309496363	4.775845965	5.718509587	5.605823205	5.04360698	5.148462346	4.790657368
gene203	0	0	7.327444859	0	7.15779155	0	0	0
gene204	6.294655667	5.078554332	5.152718853	4.653105889	4.684689719	5.753973506	4.596887449	5.392822278
gene205	5.056215005	5.162963258	5.331891488	4.290328555	5.559831339	5.660529359	4.957464266	4.860992585
gene206	4.713866245	5.166084731	5.421950356	4.717226753	5.485269024	6.200204179	5.27921126	5.680248394
gene207	4.310790892	5.01773488	5.71653278	3.425339791	5.521540768	5.268917157	4.667063274	5.21673422
gene208	0	0	0	0	0	9.460085192	0	0
gene209	5.573619924	4.973423006	3.964112098	6.451237492	4.611414383	5.226431461	4.964601945	4.197456549
gene210	4.99157173	4.542518083	5.074522562	3.848327486	5.079783425	5.625442924	5.191416574	5.748474651
gene211	0	0	0	0	0	0	0	0
gene212	6.388728552	5.062074209	5.001968836	4.84707489	4.825861932	4.678342385	4.539537275	5.088735246
gene213	6.154174068	4.098234257	5.68036937	3.624580543	5.631709645	5.399834171	5.971922858	5.291949752
gene214	5.668961548	5.7207053	5.247638946	4.931200818	5.401415439	4.33547611	4.950459082	4.496072414
gene215	5.54240355	4.582814894	4.773094359	5.147823599	4.588732622	5.758164573	4.851324289	4.394555299
gene216	4.360792667	4.068773979	5.089019263	4.184558014	4.474163444	5.483770642	4.954382453	4.991317757
gene217	0	0	0	0	0	0	0	0
gene218	4.82646205	4.520956481	5.236852291	5.135465097	4.553495673	4.757129951	4.701815171	5.402694894
gene219	5.369710751	5.445240029	4.547227707	5.169592342	4.580652028	5.338634778	4.88466141	4.810628185
gene220	4.140713226	4.526970214	4.638971621	4.124204045	4.707933335	5.193700789	4.667920502	4.312563531
gene221	5.834220729	5.125105525	5.035285189	5.458336066	4.961470532	4.581254823	5.050122908	4.431776714
gene222	5.397258769	4.808117288	5.238916757	4.432819138	4.689047506	4.510639175	4.537563208	5.46738057
gene223	4.787954783	4.31486326	5.560030123	5.212090696	5.319989976	4.980007015	5.342266718	4.423739507
gene224	5.032087615	2.634551451	4.991376719	3.902662117	3.61702807	2.585726927	4.412944073	4.013882054
gene225	0	0	0	0	0	0	0	0
gene226	5.600736579	5.257086071	4.246605703	4.766489155	4.545498923	4.84198821	5.203827598	5.289177875
gene227	5.216396659	4.580676144	5.241680045	4.7708449	4.973597501	5.387083323	5.081267184	4.494441213
gene228	5.436848102	6.247048341	5.05744594	4.277590555	4.963090279	3.215049513	3.301085689	5.578144711
gene229	5.076819872	4.567630624	5.420182567	3.708871443	4.951559821	4.55617801	3.753518965	6.874452724
gene230	5.149385384	5.338303175	4.768062551	4.649598216	4.745635336	5.053884622	4.736972808	4.731921782
gene231	5.523888094	5.042801905	4.946379968	4.421829205	4.202315844	4.896785275	4.691154458	5.664937877
gene232	4.757503354	5.296872168	4.748123062	4.9828339	5.073318972	4.322187757	4.859596903	5.189555758
gene233	3.943424406	5.091365564	4.818717653	4.757679353	4.704794517	5.117524668	3.603822153	4.655632325
gene234	6.061303141	3.574743371	5.344484112	2.687098771	4.354804751	4.494550017	4.048349546	5.0542494
gene235	3.625352326	5.209227196	5.102809279	5.187205569	4.732144356	4.731612293	4.647734707	4.846187394
gene236	4.243074944	4.889215548	5.095565811	4.601637096	4.849028465	5.368590271	4.538680936	4.713970692
gene237	4.350136528	4.573168482	4.87592747	4.604545816	4.59902613	5.380771	4.993266763	4.950244434
gene238	4.677119186	4.817326502	5.035944962	4.890359136	5.075417108	4.86859294	4.893226284	4.743908063
gene239	0	0	0	0	0	0	0	0
gene240	4.098402713	3.893109766	6.223997814	4.679457579	5.745024839	4.472143303	4.222433641	1.405594883
gene241	3.911423149	6.209704841	4.635063636	4.595927289	4.70687309	4.762832468	3.570632936	4.490525206
gene242	5.249767674	4.634866216	4.989838381	4.499641823	4.677993006	4.059934939	4.33465408	4.25586325
gene243	1.735318539	0.329006453	1.247332089	2.293267473	0.346003758	0.845219451	2.808010169	0.749917791
gene244	0	0	7.327444859	0	0	0	0	0
gene245	4.834144866	3.319775431	4.634645539	4.443215427	4.245130531	4.682135029	4.445249963	5.19424074
gene246	4.267625683	4.030327249	3.202079146	5.867355352	4.789103218	3.559161387	4.088353643	3.282995721
gene247	5.033832625	5.622248071	4.98580096	5.075250226	5.171531109	5.072954699	4.627233276	4.721640611
gene248	4.915568703	4.552997941	4.9256387	3.949628308	4.721164826	5.205470714	5.106679137	5.404525101
gene249	3.776998813	4.055117547	3.131968052	4.651040207	3.937419727	4.749754141	4.943879142	4.193219787
gene250	4.859447818	3.373417139	5.488335046	4.610564242	4.83741853	4.492244174	5.219141409	4.109109779
gene251	4.84673901	5.050527817	4.768761287	4.663788632	4.844114444	4.924945487	4.687866939	4.297741678
gene252	0	0	0	0	7.591425104	0	0	0
gene253	4.757241982	4.666784991	4.395611249	5.14029195	4.310536442	4.658342891	4.859119777	4.515952091
gene254	1.989204418	6.389566812	4.45322124	3.267206173	5.669188379	0.000862895	0.004792972	3.645217451
gene255	1.059770581	1.159835824	5.159754302	3.261399929	3.405814053	2.905884205	3.558475818	4.716365408
gene256	2.240070043	0.004788285	3.244232524	4.728219851	4.475720463	5.155295891	5.080367731	4.259008785
gene257	4.484956587	4.448973613	4.901368947	4.153010825	5.067858099	4.8113991	5.11392132	4.663612182
gene258	4.737881415	4.385990059	4.944408705	4.169965076	5.114616893	5.173551223	4.549977143	4.696600374
gene259	3.567606289	4.988289311	5.75206347	3.999449868	5.696828465	4.053728261	4.757663354	4.577851755
gene260	0	2.939224697	4.034180493	3.68432504	3.565365644	4.145269857	2.980127693	4.228079841
gene261	4.189326447	4.161258885	4.729955125	4.055195654	4.515037466	4.791532796	4.438252924	5.162363129
gene262	4.727021893	4.735830829	4.372750162	5.497184411	4.974497191	5.14879178	5.155198728	3.581869415
gene263	4.81439661	4.168208777	5.208263627	3.343112146	4.417460994	4.420590193	4.493749794	4.313253109
gene264	0	0	0	0	0	0	0	0
gene265	1.834606053	5.812426346	2.983351182	4.802125993	5.053202588	4.773669362	0	5.021994884
gene266	4.693827031	4.890310491	4.211541812	5.149121139	4.574004598	4.696700516	4.877160184	3.704672806
gene267	4.571373436	5.539186734	4.771706023	4.182700242	4.46125351	4.331905816	4.613407887	4.178380018
gene268	4.292612443	5.041869381	4.304386918	4.421681118	4.628866895	4.607732733	4.183288001	4.975836507
gene269	0	0	0	0	0	0	0	0
gene270	5.110910248	4.735803757	3.435417908	5.32922049	4.679215464	3.67494644	2.974186035	3.874147755
gene271	0	0	0	0	0	0	0	0
gene272	0	0	0	0	0	0	0	0
gene273	5.138777615	4.593114696	4.439643083	4.226678067	4.211798762	4.787745878	4.173175416	4.78401707
gene274	2.558818643	5.60689818	4.731894636	3.050933484	4.01770816	4.381041057	4.507306261	4.70774564
gene275	2.769534796	4.267258618	4.59902613	4.368712484	4.249763882	4.746941524	4.752406071	5.327011841
gene276	5.219548025	4.493704969	3.747731113	5.087636803	3.91961658	4.273657616	4.180028481	3.837650638
gene277	4.018037675	4.686696608	4.736626521	3.361234969	4.320701283	4.163683888	3.492058265	4.649960285
gene278	5.658617094	3.214867726	4.502317871	4.31392785	5.880629207	3.620633327	4.759560669	4.000135246
gene279	4.85774716	4.211222506	4.519120407	4.015229929	4.219292451	4.414642958	4.517080381	4.477916893
gene280	3.816046687	5.374396159	3.942617719	4.664573859	4.531481276	3.856129178	4.846914479	4.521157553
gene281	4.79220464	5.272601794	4.497427147	4.645257808	4.406230521	4.661846491	4.112683454	4.641754095
gene282	0	0	0	0	0	0	0	0
gene283	0	0	0	0	0	0	0	0
gene284	4.515617847	5.052355027	3.886023307	4.402101368	4.433740656	4.64731451	4.381989317	3.719161532
gene285	4.300958342	4.341523271	4.589511832	3.936864042	5.063580597	4.48453775	4.913827681	5.020555538
gene286	4.800014603	3.349501161	4.268187336	4.573586601	4.051328594	5.113792165	5.120978089	4.492596694
gene287	0	0	0	0	0	0	0	0
gene288	5.711428828	3.062769328	4.550014095	3.376044448	3.237231762	3.867194709	3.876870517	4.841017042
gene289	3.260694141	3.944286875	4.229618684	4.399629128	5.425429092	4.145767111	4.660991347	4.735294707
gene290	5.443311585	4.592463017	4.162798147	5.208544571	4.09528308	4.110104283	3.655729628	3.805581378
gene291	0	6.342812499	0	6.517127636	4.996863239	0	0	4.44E-05
gene292	4.485343097	4.397618165	4.190338304	4.664704689	4.178802268	4.396351324	4.82353029	4.60116759
gene293	0	0	0	0	0	0	0	0
gene294	4.91046405	4.057112304	4.636618821	3.901590992	4.143768902	4.366210292	4.521201533	4.904720112
gene295	0.970361877	1.226255728	0	1.724060851	1.690872964	1.686899384	2.865519	0.960997963
gene296	3.875622813	3.692215153	4.748482702	3.760848994	3.820597666	4.656462048	4.282054244	4.817331619
gene297	4.489883275	5.091606754	3.821363274	4.347254614	4.368621698	3.895302621	3.698274051	4.392482293
